cod_cooperativa;des_nome_cooperativa;cod_agencia;des_nome_agencia
331;COOPERATIVA VALE DA ESPERANÇA;04;AGÊNCIA NOVA ESPERANÇA
331;COOPERATIVA VALE DA ESPERANÇA;11;AGENCIA VALE DA AMIZADE
331;COOPERATIVA VALE DA ESPERANÇA;12;AGENCIA FRATERNIDADE
331;COOPERATIVA VALE DA ESPERANÇA;15;AGENCIA UM POR TODOS
331;COOPERATIVA VALE DA ESPERANÇA;16;AGENCIA VIDAS UNIDAS
331;COOPERATIVA VALE DA ESPERANÇA;19;AGENCIA CENTRO TERRA
523;COOPERATIVA UNIÃO;04;AGENCIA UNIÃO EPRESARIAL
523;COOPERATIVA UNIÃO;12;AGENCIA UNIVALE
523;COOPERATIVA UNIÃO;15;AGENCIA CENTRAL NOVA
640;COOPERATIVA CRESCER;12;AGENCIA ROTA PERFEITA
640;COOPERATIVA CRESCER;15;AGENCIA TRILHA DA GUARDA
640;COOPERATIVA CRESCER;16;AGENCIA NOVA JORNADA
640;COOPERATIVA CRESCER;19;AGENCIA ALTA VISTA
